Date,Open,High,Low,Close,Volume
2006-11-03,117.12,118.19,116.99,118.0,0
2006-11-06,118.03,118.45,117.8,118.28,0
2006-11-07,118.28,118.31,117.25,117.67,0
2006-11-08,117.68,117.99,117.39,117.85,0
2006-11-09,117.83,118.58,117.69,117.9,0
2006-11-10,117.91,117.94,117.19,117.54,0
2006-11-13,117.57,118.28,117.12,118.15,0
2006-11-14,118.15,118.17,117.24,117.6,0
2006-11-15,117.62,118.19,117.51,118.01,0
2006-11-16,118.01,118.32,117.74,118.21,0
2006-11-17,118.2,118.46,117.52,117.74,0
2006-11-20,117.86,118.19,117.77,118.02,0
2006-11-21,118.05,118.25,117.73,117.92,0
2006-11-22,117.9,117.9,116.35,116.72,0
2006-11-23,116.73,116.81,116.02,116.28,0
2006-11-24,116.29,116.48,115.59,115.83,0
2006-11-27,115.7,116.39,115.38,116.09,0
2006-11-28,116.08,116.4,115.88,116.16,0
2006-11-29,116.14,116.46,115.57,116.39,0
2006-11-30,116.35,116.55,115.5,115.8,0
2006-12-01,115.78,116.37,114.98,115.43,0
2006-12-04,115.42,115.82,115.1,115.28,0
2006-12-05,115.28,115.43,114.44,114.88,0
2006-12-06,114.89,115.3,114.51,115.25,0
2006-12-07,115.25,115.37,114.75,115.25,0
2006-12-08,115.26,116.48,114.9,116.32,0
2006-12-11,116.39,117.24,116.16,116.97,0
2006-12-12,116.99,117.22,116.67,116.76,0
2006-12-13,116.76,117.64,116.64,117.56,0
2006-12-14,117.58,117.88,117.26,117.83,0
2006-12-15,117.81,118.32,117.44,118.16,0
2006-12-18,117.96,118.27,117.69,118.13,0
2006-12-19,118.16,118.31,117.8,118.1,0
2006-12-20,118.12,118.51,117.94,118.43,0
2006-12-21,118.42,118.5,117.95,118.33,0
2006-12-22,118.32,118.95,118.21,118.84,0
2006-12-25,118.87,118.95,118.66,118.73,0
2006-12-26,119.13,119.2,118.65,119.14,0
2006-12-27,119.14,119.2,118.27,118.77,0
2006-12-28,118.74,119.03,118.52,118.91,0
2006-12-29,118.91,119.16,118.73,119.05,0
2007-01-01,119.04,119.05,118.98,119.02,0
2007-01-02,119.03,119.04,118.5,118.83,0
2007-01-03,118.82,119.67,118.66,119.36,0
2007-01-04,119.38,119.5,118.99,119.04,0
2007-01-05,119.05,119.06,117.98,118.62,0
2007-01-08,118.64,118.81,118.09,118.8,0
